Código;Descripción;Precio;Subrubro;Stock;Marca;Rubro
KD9015;BOBINA ENC. GOLF 1.8 TURBO;$ 50872,31;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD2720M3;BOBINA ENC. GOLF, POLO 1.6, 1.8, 2.0 LINEA NUEVA;$ 40984,46;BOBINAS DE ENCENDIDO;4;CADIC;BOBINAS
KD8006A;BOBINA ENC. KANGOO, CLIO ?’02;$ 53136,49;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD4210B;BOBINA ENC. LAGUNA 2LTS SIST. VOLVO;$ 23329,61;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8006;BOBINA ENC. LAGUNA, KANGOO 1.6 K7M;$ 53136,49;BOBINAS DE ENCENDIDO;6;CADIC;BOBINAS
VK11419RE;BOBINA ENC. LAPIZ RENAULT 1.6 K4M 16V;$ 12054,02;BOBINAS DE ENCENDIDO;90;SAGEM;BOBINAS
KD4210A;BOBINA ENC. MEGANE 1.6, 2.0LTS 8V ‘99?SISTEMA MARELLI;$ 23329,61;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD4212A;BOBINA ENC. MEGANE 8V 2LTS, ENCHUFE BLANCO;$ 33359,90;BOBINAS DE ENCENDIDO;8;CADIC;BOBINAS
KD4212;BOBINA ENC. MEGANE 8V 2LTS, ENCHUFE NEGRO;$ 29906,75;BOBINAS DE ENCENDIDO;5;CADIC;BOBINAS
KD8060;BOBINA ENC. MERIVA, ZAFIRA 16V;$ 129493,16;BOBINAS DE ENCENDIDO;2;CADIC;BOBINAS
KD8040B;BOBINA ENC. OPEL VECTRA ALEMAN ‘94’95;$ 59381,87;BOBINAS DE ENCENDIDO;2;CADIC;BOBINAS
KD8015;BOBINA ENC. PALIO 16V SISTEMA BEHRU;$ 109837,72;BOBINAS DE ENCENDIDO;2;CADIC;BOBINAS
KD8033;BOBINA ENC. PALIO 16V SISTEMA CHAMPION;$ 109837,71;BOBINAS DE ENCENDIDO;2;CADIC;BOBINAS
KD4210;BOBINA ENC. PALIO BOBINA DOBLE;$ 22584,44;BOBINAS DE ENCENDIDO;-3;CADIC;BOBINAS
KD8002B;BOBINA ENC. PALIO, SIENA 1.3 16V;$ 48436,18;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
RGU11447;BOBINA ENC. PEUGEOT, CITROEN;$ 111038,08;BOBINAS DE ENCENDIDO;3;REGITAR;BOBINAS
KD3106;BOBINA ENC. R19, CLIO  MODELO VIEJO ?’95;$ 28316,53;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD2702;BOBINA ENC. R19, CLIO ’95?;$ 24304,07;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
KD2809;BOBINA ENC. R21, R19 INJECTION;$ 28611,82;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
RGU11391;BOBINA ENC. RENAULT 19 1.6 (DESDE 1995), 9 (ULTIMA SERIE), TRAFIC, TWINGO,;$ 36203,26;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
RGU11439;BOBINA ENC. RENAULT CLIO II-KANGOO-TWINGO 1 0 16V-1 2 3 AGUJEROS;$ 97545,01;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
RGU11444;BOBINA ENC. RENAULT CLIO-KANGOO-TWINGO;$ 102369,98;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
RGU11417;BOBINA ENC. RENAULT ESPACE 2 0I-LAGUNA-MEGANE-SEAT;$ 51734,01;BOBINAS DE ENCENDIDO;10;REGITAR;BOBINAS
KD9028A;BOBINA ENC. RENAULT FLUENCE/MEGANE III;$ 42239,44;BOBINAS DE ENCENDIDO;5;CADIC;BOBINAS
RGU11419;BOBINA ENC. RENAULT MEGANE, LAGUNA, CLIO 2, KANGOO ( MOTOR KM/K4 16V);$ 22931,90;BOBINAS DE ENCENDIDO;340;REGITAR;BOBINAS
RGU11425;BOBINA ENC. SEAT-CADDY-POLO CLASSIC-TRANSPOR;$ 43446,01;BOBINAS DE ENCENDIDO;6;REGITAR;BOBINAS
RGU11421;BOBINA ENC. SEAT-VW BORA-GOLF-PASSAT-POLO-2;$ 60349,30;BOBINAS DE ENCENDIDO;7;REGITAR;BOBINAS
KD8002D;BOBINA ENC. TIPO INJECTION, ALFA ROMEO T-SPARK;$ 51332,18;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD2711M6;BOBINA ENC. VARIANTE 2711 CON 6 PINS;$ 57320,92;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
RGU11427;BOBINA ENC. VOLKSWAGEN GOL-QUANTUM-SAVEIRO;$ 34777,93;BOBINAS DE ENCENDIDO;0;REGITAR;BOBINAS
KD8002F;BOBINA ENC. VW GOL 1.4 SISTEMA BOSCH;$ 44996,92;BOBINAS DE ENCENDIDO;9;CADIC;BOBINAS
RGU11494;BOBINA ENC. VW GOL 3 PINES;$ 48271,00;BOBINAS DE ENCENDIDO;3;REGITAR;BOBINAS
RGU0166;BOBINA ENCENDIDO ELECTRONICO;$ 31209,32;BOBINAS DE ENCENDIDO;-1;REGITAR;BOBINAS
BA355;BOBINA ENCENDIDO ELECTRONICO COMPETICION;$ 75347,00;BOBINAS DE ENCEND. COMPETICION;58;FERRAZZI;BOBINAS
KD7002;BOBINA ENCENDIDO FIAT 500 DOBLO BRAVO 1.4 16V;$ 54017,15;BOBINAS DE ENCENDIDO;4;CADIC;BOBINAS
KD7208;BOBINA ENCENDIDO FIAT ARGO CRONOS DRIVE 1.3 55267998;$ 56237,03;BOBINAS DE ENCENDIDO;8;CADIC;BOBINAS
KD8066;BOBINA ENCENDIDO FIAT NOVO UNO PALIO FIRE EVO;$ 120373,93;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD8041;BOBINA ENCENDIDO FIAT PALIO SIENA 1.6 ETORQ;$ 57161,97;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
FI70157;BOBINA ENCENDIDO FIAT PALIO SIENA FIRE SISTEMA BOSCH;$ 59359,40;BOBINAS DE ENCENDIDO;6;FISPA;BOBINAS
KD8048A;BOBINA ENCENDIDO FIESTA/FOCUS/ECOSPORT DESDE 2012;$ 53136,49;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
VK11401MC;BOBINA ENCENDIDO FOCUS/FIESTA ZETEC;$ 49439,40;BOBINAS DE ENCENDIDO;2;MOTORCRAFT;BOBINAS
RGU11718;BOBINA ENCENDIDO FORD FIESTA FOCUS ECOSPORT FICHA OVALADA;$ 53951,18;BOBINAS DE ENCENDIDO;6;REGITAR;BOBINAS
KD7026;BOBINA ENCENDIDO FORD FOCUS 3 DURATEC MONDEO 2.0 ECOBOST CM5Z-12029-A;$ 57038,66;BOBINAS DE ENCENDIDO;7;CADIC;BOBINAS
KD9005D;BOBINA ENCENDIDO FORD FOCUS ECOSPORT 2.0 16V  DURATEC 4M5G-12A366-BC;$ 23740,41;BOBINAS DE ENCENDIDO;6;CADIC;BOBINAS
KD9002E;BOBINA ENCENDIDO GOLF 1.8 TURBO 06B 905 115L;$ 47665,82;BOBINAS DE ENCENDIDO;1;CADIC;BOBINAS
KD3403;BOBINA ENCENDIDO HONDA CIVIC ACCORD CRV HRV;$ 25106,56;BOBINAS DE ENCENDIDO;3;CADIC;BOBINAS
KD7012;BOBINA ENCENDIDO HONDA FIT 1.5 LADO ESCAPE 30521-PWA-003;$ 52722,22;BOBINAS DE ENCENDIDO;7;CADIC;BOBINAS
KD8002G;BOBINA ENCENDIDO IDEA/PALIO/SIENA 1.8 MOTOR GM;$ 65671,53;BOBINAS DE ENCENDIDO;0;CADIC;BOBINAS
KD9126A;BOBINA ENCENDIDO P208/308/408 MOTOR THP 1.6 16V;$ 46247,56;BOBINAS DE ENCENDIDO;5;CADIC;BOBINAS
KD8079;BOBINA ENCENDIDO PEUGEOT 208 308 408 1.6 16V MOTOR EC5 9800251580;$ 151075,36;BOBINAS DE ENCENDIDO;4;CADIC;BOBINAS
BA354;BOBINA ENCENDIDO PLATINO CON RESISTOR COMPETICION;$ 74059,72;BOBINAS DE ENCEND. COMPETICION;40;FERRAZZI;BOBINAS
FI70015;BOBINA ENCENDIDO RENAULT 9 19 21 CLIO 7700749450 7702218697;$ 33554,90;BOBINAS DE ENCENDIDO;9;FISPA;BOBINAS
KD7640;BOBINA ENCENDIDO RENAULT KWID TIPO LAPIZ;$ 59505,19;BOBINAS DE ENCENDIDO;3;CADIC;BOBINAS
KD9009;BOBINA ENCENDIDO TIPO LAPIZ RENAULT 1.6 16V MOTOR K4M;$ 22928,37;BOBINAS DE ENCENDIDO;454;CADIC;BOBINAS
KD9011B;BOBINA ENCENDIDO TOYOTA COROLLA/RAV4  1.8 VVTI;$ 43045,08;BOBINAS DE ENCENDIDO;-1;CADIC;BOBINAS
KD9608;BOBINA ENCENDIDO TOYOTA ETIOS/YARIS 1.5;$ 59505,19;BOBINAS DE ENCENDIDO;10;CADIC;BOBINAS
KD7020A;BOBINA ENCENDIDO VW FOX SURAN 1.6 16V MSI 04E905110A;$ 49330,73;BOBINAS DE ENCENDIDO;4;CADIC;BOBINAS
VK11421B;BOBINA ENCENDIDO VW GOL TREND FOX SURAN GOLF 1.6;$ 66810,00;BOBINAS DE ENCENDIDO;5;BOSCH;BOBINAS
FI70102;BOBINA FIAT NOVO UNO PALIO 2014;$ 96723,24;BOBINAS DE ENCENDIDO;4;FISPA;BOBINAS
FI70070;BOBINA FORD KA FIESTA FOCUS FICHA RECTANGULAR;$ 45120,42;BOBINAS DE ENCENDIDO;4;FISPA;BOBINAS
FI70033;BOBINA IGNICION FIAT MOTOR FIRE 1 BOBINA;$ 48328,81;BOBINAS DE ENCENDIDO;9;FISPA;BOBINAS
KD8059;BOBINA PEUGEOT 2.0 597087;$ 155700,11;BOBINAS DE ENCENDIDO;3;CADIC;BOBINAS
FI70012;BOBINA PEUGEOT 206 CITROEN C3 FIAT QUBO 1.4 8V FICHA GRIS;$ 103222,97;BOBINAS DE ENCENDIDO;6;FISPA;BOBINAS
VK11871;BOBINA RENAULT KANGOO MEGANE CLIO 1.6 8V K7M FICHA CUADRADA;$ 62068,11;BOBINAS DE ENCENDIDO;2;VERKEHR;BOBINAS
RGU11416;BOBINA RENAULT KANGOO MEGANE SCENIC 1.6 8V K7M FICHA OVALADA;$ 54310,16;BOBINAS DE ENCENDIDO;3;REGITAR;BOBINAS
KD8501;BOBINA RENAULT LOGAN SANDERO KANGOO K7M 224336134R;$ 37823,73;BOBINAS DE ENCENDIDO;4;CADIC;BOBINAS
